,title,link,create_time
0,某区真好！不管什么初中，只要校排靠前，都有自招机会,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490506&idx=1&sn=7c23217721e366cd46bc57d5eb7571e5&chksm=c041d9eaf73650fc26d89b85c48c2e738627ecc68bc7130c0f2b9a9b93d7c0de2b440936187d#rd,2024-11-16 10:19:45
1,魔渊第一届初中数学素养测评——学生/家长/教师组,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490499&idx=1&sn=08bfe6b2aa457a7e9fbf22f57e1fde22&chksm=c041d9e3f73650f5da07b7afedca2a804fbdd0508b1da4fbbf0bda378a830dd66e68a719ca44#rd,2024-11-15 16:53:42
2,0号君：你最近有点飘了啊！,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490484&idx=1&sn=14d2e25eca3159cef508701eb7ddcd3c&chksm=c041d994f73650820ce83fd87a537bf5ad2cb48587e420a1e68f4d004b0d0c66daf9b01e79b4#rd,2024-11-14 12:01:09
3,与你既定认识可能不同，该怎样扎实地超前学习初中数学？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490475&idx=1&sn=2dc45c4b52869dd9faed0d7b3238afa7&chksm=c041d98bf736509ddf54b46c77c4a69b2b723f354b22d14e4b61f953b58ebade5e75e9dd850f#rd,2024-11-13 14:44:03
4,照搬数学物理的学习方法，往往很难学好化学,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490460&idx=1&sn=bc52df9d3da74124384041ece46ebe8a&chksm=c041d9bcf73650aa62c0e3022186bef628361faf65b8f2ea2ebf0f285445a93c5c8115599854#rd,2024-11-12 09:29:09
5,昨天，我又拉黑了两位家长,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490459&idx=1&sn=7552f2735a0b344e4c1b27b33b5716fa&chksm=c041d9bbf73650add8ed8953e02f8b4289462e28a2f98b7061f78265066a03018735649e9a19#rd,2024-11-11 09:00:26
6,网传一姐LS在组织大规模神秘考，难度究竟如何？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490450&idx=1&sn=512daed719d3be5e8b4480726d3001b2&chksm=c041d9b2f73650a4f799db80885c4faad599f31d8112177d447a33440aa2b4d8883f79331b86#rd,2024-11-10 10:46:11
7,纪实——没有系统学习小奥是否意味着从此与自招无缘,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490408&idx=1&sn=cc5df27bd90e5e1b40b3e163231b9d1f&chksm=c041d948f736505efa951a9a77b255fd16cc992e75212159afd1c354854cc8f0e8bdf2bf9317#rd,2024-11-09 09:02:49
8,深夜，我们家长群里有位家长无法入睡,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490403&idx=1&sn=667df6113e9a7bf6678d2253bc371267&chksm=c041d943f73650552e46deba19dec466ec0c3c7a74579373f744cd41b697201f9a49d1f7e06f#rd,2024-11-08 11:30:48
9,有效学业规划的前提是明确考察方向与内容（数学篇）,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490396&idx=1&sn=0e0e861be7fbb139c1d0d89c428a5cba&chksm=c041d97cf736506a934754c7c770152fb1a4703a1974e9718ffa4cd3c358ce4d687d907c9619#rd,2024-11-07 15:58:58
10,若以高考为导向，初中4年可以变3年,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490393&idx=1&sn=ec957345baa15baf13ede9b7594888e0&chksm=c041d979f736506fe39ab1fdfba928369361d146090dce463871e501a865efef265e32998714#rd,2024-11-06 13:38:38
11,不要让清北复交成为你人生的巅峰&合伙人招募,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490380&idx=1&sn=a4354a32678c81e46381c6a754fac0a0&chksm=c041d96cf736507a056befd853f18ce5eeb19e5b4f892f8112b37fca138f6a2dea715c35eb09#rd,2024-11-05 11:26:24
12,“学习要知其所以然”未必就是真理——鸡自己娃的启示,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490376&idx=1&sn=9638e434c1643bb253f8496b9df008b3&chksm=c041d968f736507e536dcd164422005f145e64770df0d039d75f3a32d9e78fb0e02c21986c63#rd,2024-11-04 14:01:43
13,已被某四校签约的2025级自招生源现在在干什么,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490365&idx=1&sn=8e083d44090f56451086b5303173bccf&chksm=c041d91df736500b12843721e458ea200f86dcc14239c7e314696acecdbfcc9205affd91147b#rd,2024-11-03 11:50:05
14,眼看一姐兰生黯然失色，却惊现...,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490347&idx=1&sn=907d20b884edc94f9b5db3a62b10f36f&chksm=c041d90bf736501da05d5121f7484702732ea40b1e75230b0dae6ff7580b2fca21385aa86b47#rd,2024-11-02 13:29:53
15,我初二刚学物理时就翻车了,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490319&idx=1&sn=34dcbbd5b14392f8cac9ea3a394fe8c2&chksm=c041d92ff7365039dfb4b1a4d2c4b2540b268cd884556c675e0538e9a7f844a9981197921fec#rd,2024-11-01 14:58:41
16,数竞和物竞可能不是你的菜，不过，你有新的选择了,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490310&idx=1&sn=50bce2b25cfa049fe54456b9f906f7fa&chksm=c041d926f73650309ff41acb33d252991baea3316e434da046c9fa14efb4ecca9f4523e7e9ac#rd,2024-10-31 11:49:55
17,普娃是需要这样的老师吗？It's up to you,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490283&idx=1&sn=606819a24afc9321d395ce580b8e8a50&chksm=c041d8cbf73651ddba83c10529f3dbe081785b3ce0607c75f9cd92973b2e882ed3c54c8764ac#rd,2024-10-30 09:47:14
18,上海中学自招题带来的思考&附一份自招学业规划图,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490281&idx=1&sn=7eb8063d60555a1e40d862b0ced38dfa&chksm=c041d8c9f73651dfa8121aa4a2f9a7fd5f8e87a2f8f578919722d3588df36f996d09c507efe7#rd,2024-10-29 12:58:11
19,我想踏踏实实地走中高考统考路线，谁也不羡慕,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490252&idx=1&sn=532d422ac028a834146b02ca48a1f14b&chksm=c041d8ecf73651fa8dace4a538e1ab6dbbc5a7409e3ba367ff8b2355f0a06c4ba022b18f91c2#rd,2024-10-28 10:57:57
20,化竞生若考不上北大可以考虑清华&2024年北大金秋营试题解析,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490247&idx=1&sn=9ea623450516f74515b70691695a6f1e&chksm=c041d8e7f73651f1e6f401a93444f71e0f3134e73c92b3871315f6451259fe97f1a4b2918012#rd,2024-10-27 11:06:59
21,小奥主流教辅百花争艳，你“娶”谁回家？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490240&idx=1&sn=0a952d1f12a1a647dbab6cc556e05111&chksm=c041d8e0f73651f6558a8445a8c2eb61d51440afd98194f6131153996500478ddb51db499e8a#rd,2024-10-26 10:58:39
22,免中考的诱惑很大，但它可能是一条弯路,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490169&idx=1&sn=3d040b0603f4a477f13bec55b9a1088a&chksm=c041d859f736514f709175e207c85e16092dc711f3b7b005a550ff9db01a1b473d1d23336339#rd,2024-10-25 10:50:53
23,复旦数学营上岸家长不同视角的分享&生源初中学校完整版统计,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490135&idx=1&sn=3ec06c100bfc900083e83ae6abfdb87a&chksm=c041d877f73651619a75dc86bd27be219f1415b6dd37922b2bcd8d577d6453fc20f0fced68e1#rd,2024-10-24 11:01:32
24,第一届复旦数学营上岸四校后的反馈——来自复附家长,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490090&idx=1&sn=c40c5506fc19990db68a3ef375576ec1&chksm=c041d80af736511ca3f816ef07b746e7365c2da6b04128dcaf239ad2db66fe6e8d7c5baf34e7#rd,2024-10-23 12:09:02
25,有一种学生常常被夸赞聪明，但却很难出成绩,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490079&idx=1&sn=457200ef3536d3319d1ca360d5d0a5f2&chksm=c041d83ff7365129d6f62f73b3ed66eaa3432b7df9362d11511199dab9b154e062b7bd06e4dd#rd,2024-10-22 15:54:55
26,物竞是否需要学习初中物理竞赛&你是否适合物竞——北大物院哥哥偷偷告诉,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490061&idx=1&sn=aab5a5d5f73222205fda8c5c47e43b8a&chksm=c041d82df736513b8029889c8186d9cde4e4c118452b5ca3809c6cc65bbf3830186676550d10#rd,2024-10-21 16:33:51
27,几本经典的自招&竞赛数学教辅，有多少学生正确使用了？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490050&idx=1&sn=538fe88748033d72e19e78aca6ee16f2&chksm=c041d822f7365134ab8f6ff2d5b1f7825c85265f740d3b817a18513f91987dfc4587a4269e0e#rd,2024-10-20 11:09:57
28,我不是渣男！魔渊核心家长群欢迎你,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247490007&idx=1&sn=4d8a8caaf46a3a9d02fb79059602f8fb&chksm=c041dbf7f73652e1cb6973410ca12f74acccad45434359cf81d415b9ac9d11206818556a38ff#rd,2024-10-18 11:42:44
29,不走竞赛和自招，不学小奥是否阻碍你成为优等生,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489989&idx=1&sn=e1a8d1cc083d11257229346286ba49e6&chksm=c041dbe5f73652f3e4db09548d9ddbb74b6e9c77bceb8d42bc9531164b949c297af29f0f2ef8#rd,2024-10-17 10:44:03
30,普娃不努力是假象，他们却最煎熬,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489981&idx=1&sn=993ca836961224fd77dc5cbeb1179a2d&chksm=c041db9df736528b4dcc4f7896c9dacdb28ca0c096382f28ba73a833c14f4788cd7df6207add#rd,2024-10-16 10:22:13
31,现在想来，都是老师满满的套路啊！,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489979&idx=1&sn=5594d3fd6817a178ee2856e81e9ddc72&chksm=c041db9bf736528d5df0558ad8a3bf9859bec0110ef17d7e3eedca208746e2be2bb8ed19386c#rd,2024-10-15 12:25:20
32,华8的家长冒充普娃，令人发指！,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489965&idx=1&sn=813c0fbae5604a8cc3bc1386ddde84e5&chksm=c041db8df736529b2c0a04bcfa50f88974337a5ab8da8c6a3871aa8806b78e42e03b6b35a85f#rd,2024-10-14 10:54:14
33,丘班考什么？难不难？2025级丘班选拔试题、解析及备考建议,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489934&idx=1&sn=cfd0d28b7eb27c36240066403e671abd&chksm=c041dbaef73652b871e6aa6105b0f2a147cae11a4f7a9b2d591106616982238f017350b0a4a1#rd,2024-10-12 15:13:51
34,邓乐言没有获得2024年高联上海市第一所以呢,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489905&idx=1&sn=942a6233e75b168ed9bc2f032f583d5a&chksm=c041db51f73652473fc37f1daa100b8805c90030aa6cff9283e9878e3a112e7eacbca6cd9425#rd,2024-10-11 12:14:19
35,我眼中有天赋的学生&错误的教育方法可能阻碍了我入集,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489894&idx=1&sn=5b7bf84b8125b04de8739aa02545fe0a&chksm=c041db46f73652506f901bb75b924e4048c1316ee6cd9ec9f7b95540333ad6362b50240a7eac#rd,2024-10-10 17:51:34
36,各类神秘考及非公开性考题，丢过来，魔渊JT小组致力研究与分析,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489870&idx=1&sn=3e069b40e7bc1226c77eaff80a9cd407&chksm=c041db6ef736527806cc5af34dd8f32f59f08ec19036a9c7341fe7f53ff85058ec0c69d07f5e#rd,2024-10-08 11:11:18
37,“我带着同学们背课本”似乎抵消了中考数学越来越难,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489850&idx=1&sn=943764a1eec7f1a1ed6c760eda9d2a0a&chksm=c041db1af736520c62ae6b0ac2d91d1b0ea91c07f286aa66ce2548a365c0d6e37f72088212b1#rd,2024-10-07 12:07:03
38,普通鸡娃到高端鸡娃，总要经历的一次觉醒,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489842&idx=1&sn=d45e74ea606c164072dec89bd532b68d&chksm=c041db12f7365204a4590f729a1387122fd19eaa8dce8b1f68b7e084be387626ee0f74ed300b#rd,2024-10-06 11:29:48
39,据某校老师透露，上海市教委明确AMC奖项在择校中可加5分,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489828&idx=1&sn=386a9748215566e39b61aa6b96f627af&chksm=c041db04f73652125445143aeb979447f9fddb132e736c3ef1a443c2eed7d01b590bc86f341c#rd,2024-10-05 12:44:29
40,刚刚的“思维100”你参加了吗？有人说很简单，真该去考一考,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489808&idx=1&sn=e242540d3732854ec0acb254c64dbe26&chksm=c041db30f73652264cd3d1caa3b88ef9c0112c195db56bdf3b8c1fb220edba5159da2c6d9878#rd,2024-10-04 05:26:51
41,在上海居然有这么多途径可以去清北！清北摆渡人带你走,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489792&idx=1&sn=c99536415053bd162e2233eff716a8c5&chksm=c041db20f736523637a8263abe8faaf4378fd184f9a9179bccce75f0af463af91ef3489645d5#rd,2024-10-03 11:36:24
42,教过的都是成绩优秀的学生，我的女儿算是让我长见识了,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489768&idx=1&sn=90c145b0ad1a01ccbf73705972c68eef&chksm=c041dac8f73653de89b3e9b5aae037e57af1c010b52d0e164f1a33ca21165dfc7b372b6ba2e5#rd,2024-10-02 12:10:33
43,对面的数学优等生看过来，高联一试能否降维打击高考数学？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489728&idx=1&sn=ab188ac72a86d3aa8d2c2fbf2160b55f&chksm=c041dae0f73653f6ad396a47932df849602970cb52f3d4773fadb0185e7e5f1b946777e52256#rd,2024-10-01 11:41:38
44,躺在前任的怀里，但我坚决要求与各位妈妈们一起将TA抚养成人,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489718&idx=1&sn=90a2b4f3a619cd10d6d00048cb095baf&chksm=c041da96f7365380c3675185b1834a1ee53af8398f23ac2fed5d6a20716789e0e5fe1848f3d3#rd,2024-09-30 11:38:22
45,听说昨天华二丘班有选拔活动？顺便聊聊小升初奥数的衔接问题,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489712&idx=1&sn=7e2f4ab0d15aa98232b8c99ec383b8d4&chksm=c041da90f73653864b7f7e7ade8ec408feb5b59afadf098b7fead3448b7f6a451ae5277c4749#rd,2024-09-29 11:35:43
46,原来他们都是这样攀登巅峰的！物竞从入门到IPHO教辅用书推荐,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489703&idx=1&sn=00dc4724724d59d57bd75260eed2c849&chksm=c041da87f7365391751c98e51ddc0b003ad2548ef1b1d6f3d17886cb937510addbdfcf7ea985#rd,2024-09-28 11:53:49
47,我要曝光我女儿的两位数学老师，低老师被换成了高老师,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489695&idx=1&sn=6c06fee3010fd14ae0ff7705530fd014&chksm=c041dabff73653a92a806f1f478c0057494abddce45c13d35cade7d50ddc517fd9c9c7f2b002#rd,2024-09-27 15:20:47
48,就我个人教学经历谈谈“空间与数学学习困难门诊”的火爆,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489671&idx=1&sn=166f61bab95d55829f5b0318b2870c84&chksm=c041daa7f73653b19d8a522611b2b3a5a387410bbdb71f8686077178e482b6126574744b0c65#rd,2024-09-26 12:15:12
49,要不要加入魔渊数字军团呢？高薪招募中小学教师,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489671&idx=2&sn=abfc4de6069273b4f9f8304a48715a7e&chksm=c041daa7f73653b17aa5ab024e3e84eb9ba80dd840e2335fbeec96b60bbaa82ad0d28cea90cb#rd,2024-09-26 12:15:12
50,提前学习初中理化耽误了很多时间,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489593&idx=1&sn=3f4af3867a2dbc19c81960de3bdf7f41&chksm=c041da19f736530f9a56ae7807b6c4af2c560067e73fdc4ede0ea0b606366fd4ea15d89fb4ea#rd,2024-09-25 11:53:27
51,自招四校八大，你需要提前学习的一些高中内容,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489326&idx=1&sn=706a527818390c0b3a8dc91962219acf&chksm=c041d50ef7365c189e36f56e91e81ae16fd34dc4e8b0b3257c92e1a71a8e5334c20f348b7990#rd,2024-09-24 12:07:07
52,数学不开窍，可某二梯队学校老师说“她往后学只会越来越好”,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489303&idx=1&sn=335f781e2b107c68492b7b096e133d67&chksm=c041d537f7365c21652ba0b34759ca4f129d1e8729f2ab764f36894382e46965ac70af3a200c#rd,2024-09-23 11:15:52
53,星辰闪耀计划·学业规划免费咨询服务,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489287&idx=1&sn=83cd5115147ba3c2fb37c9bfc59f80a1&chksm=c041d527f7365c31e51931defc6dff34895606154f8f45edeea43a44f42d45772704737084f2#rd,2024-09-22 13:08:48
54,我带了一个浅奥班，同学们如愿进了二线初中及上实、上外,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489271&idx=1&sn=7c6ac718d47122fa9fab110550945ef5&chksm=c041d4d7f7365dc1549a4c4ad08dc96e21060edb3690ffee16a1350e7fc14e7312f65990845b#rd,2024-09-21 11:25:58
55,原集训队成员、现首席教练员对化学竞赛的学业规划建议&教辅用书全面推荐,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489260&idx=1&sn=c433d69c97aab8a3f11bfc2af637fd71&chksm=c041d4ccf7365dda7fdaf641f35012629ef37a2158aa452deb1a659a014e01ca49966b3c8019#rd,2024-09-20 17:28:33
,title,link,create_time
0,应对中考的普娃要不要超前学？麻烦给个具体的路线,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489236&idx=1&sn=5928915e6afa16ae3cad8d555e9488be&chksm=c041d4f4f7365de2afecd29375a661afefc73879dac0731a957c346d174a6e22b74369e15d01#rd,2024-09-19 10:42:27
1,假若你认为中考自招是捷径，肯定要走弯路,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489228&idx=1&sn=7a1ba446fe2d33d77b46be043abeca3b&chksm=c041d4ecf7365dfab98f82df9351afe4a22de64918b87b586b9c3a5d1a83ca527f05a91d1fc4#rd,2024-09-18 10:01:50
2,文科的终点是预初、理科的终点是初二,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489220&idx=1&sn=c131b2138083a40473a25ebb0509964e&chksm=c041d4e4f7365df2101745c65da0aa1085ddbf6a2ea75482c50d32396ea4eb0140cbdc018910#rd,2024-09-17 11:00:56
3,清北兵临城下，复旦剑已出鞘，交大流星赶月,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489207&idx=1&sn=4c4a606f12115ea231710adec2fb41b1&chksm=c041d497f7365d811e9483e80ed501a93de4d973f55dc99c929657410b227137accb8087ccb6#rd,2024-09-16 09:35:57
4,交附&上外附中！中国化学奥林匹克竞赛（初赛）上海省一名单新鲜出炉,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489199&idx=1&sn=8f39d8a688e1c2e37dbb8a1bc6d2cd1a&chksm=c041d48ff7365d99cfafdb3f8b275bba15c3c050b675690e3d458403587de5c18bc91f2c02d5#rd,2024-09-15 03:04:45
5,你居然来挑衅我，那我曝光你,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489178&idx=1&sn=7a6a5fe760a2ba8fdcb8a78fbfe40832&chksm=c041d4baf7365dacb58f18e278cdc7fb4255bbf90c474addb8c553aec5402dd28a51def41764#rd,2024-09-14 15:54:52
6,作为物竞教练，我会因为这篇文章被同行抵制吗？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489150&idx=1&sn=2d1ed67d41e471ef70023741d026b03b&chksm=c041d45ef7365d48dc7f95176635f51a82c20b2aefd26b8f302986e0998f79ebe78b5b1fd168#rd,2024-09-13 18:43:12
7,记录学习数学突然开窍的一些例子，命运的齿轮开始转动,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489143&idx=1&sn=b747b6cfa7a12bf2a140743070ca726e&chksm=c041d457f7365d41fb1c530c96b2adec8ee9c204a99119ad6e74292c832273c453f1043541bd#rd,2024-09-12 11:01:17
8,某高中立志在化竞上突破，并有意免去学生中考的后顾之忧,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489130&idx=1&sn=ecd081a5e9ca7c3c106a6b3caec007bf&chksm=c041d44af7365d5c023bbff426d6f62f10e700fd88008a04fca2a18fc2d7d406af5496ef4500#rd,2024-09-11 10:46:12
9,我想说服自己孩子天赋不在数学上并非他的原罪,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489107&idx=1&sn=d174da2128a98e665f787af459152f73&chksm=c041d473f7365d65f45949cd61f5d82c16ba0efa0891debae9af0a54e625c2c98c772a073674#rd,2024-09-10 11:45:31
10,这件事太酷了，他们真的是一群很帅的人,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489102&idx=1&sn=71109a660b0c39b6d87472a73a1991d9&chksm=c041d46ef7365d78e84fda73ea3718c3c757620c2e142cc874d2b825d11c826cc2b9583ae702#rd,2024-09-09 16:59:50
11,马上教师节了，要不要给老师送礼讨好一下,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489091&idx=1&sn=567525df863ac822538e0561121208c3&chksm=c041d463f7365d75768fa1cbe0c644bc38586d56970c6deee22ac991d8b26a75def9eaba1f3f#rd,2024-09-08 11:04:28
12,本科100位女生周围只有58位男生，男孩危机or女孩危机？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489083&idx=1&sn=82123a73684dc5eb9fa5c367d0e3fe53&chksm=c041d41bf7365d0d34d7f6ce9df1cc0e13f59511235f613cf479fc0d7af5530ca1f1d9941f0a#rd,2024-09-07 10:11:54
13,有位同学考上了张集的竞赛班&老师要求做IMO的真题？,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489078&idx=1&sn=9ec72f44714f8c2b606fe4e79af8a42e&chksm=c041d416f7365d0073de2be3dc219d83a9876d5f7509f292bf965b1c70ad21834914ed059bf5#rd,2024-09-06 12:53:04
14,我给闺女讲了一道奥数题，发现她确实遗传了我的天赋,http://mp.weixin.qq.com/s?__biz=MzkwMDY2NzIxNQ==&mid=2247489027&idx=1&sn=76ddb8d2f121cdb4bdd213a29b0d2ee7&chksm=c041d423f7365d35660035b0c27709575e37e2272eb841124df2d4e70c5b1c2e9178282a7bc9#rd,2024-09-05 11:07:53
